account_id,algorithm,version,created_date,target_date
17899,hmm,none,2015-05-17,2015-05-15
17899,hmm,none,2015-05-18,2015-05-16
17901,hmm,none,2015-05-17,2015-05-15
17901,hmm,none,2015-05-17,2015-05-16
16042,hmm,none,2015-05-16,2015-05-15
16042,hmm,none,2015-05-17,2015-05-16
16042,hmm,none,2015-05-18,2015-05-17
18747,hmm,none,2015-05-16,2015-05-15
18747,hmm,none,2015-05-18,2015-05-16
18747,hmm,none,2015-05-18,2015-05-17
1305,hmm,none,2015-05-16,2015-05-15
1305,hmm,none,2015-05-17,2015-05-16
1305,hmm,none,2015-05-18,2015-05-17
18752,hmm,none,2015-05-16,2015-05-15
16086,hmm,none,2015-05-18,2015-05-15
19718,hmm,none,2015-05-17,2015-05-15
19718,hmm,none,2015-05-18,2015-05-16
19718,hmm,none,2015-05-18,2015-05-17
19717,hmm,none,2015-05-17,2015-05-15
19717,hmm,none,2015-05-18,2015-05-16
19717,hmm,none,2015-05-18,2015-05-17
18767,hmm,none,2015-05-17,2015-05-16
16094,hmm,none,2015-05-16,2015-05-15
16094,hmm,none,2015-05-17,2015-05-16
16094,hmm,none,2015-05-18,2015-05-17
19712,hmm,none,2015-05-16,2015-05-15
19712,hmm,none,2015-05-17,2015-05-16
19712,hmm,none,2015-05-18,2015-05-17
18765,hmm,none,2015-05-16,2015-05-15
18765,hmm,none,2015-05-17,2015-05-16
18765,hmm,none,2015-05-18,2015-05-17
16066,hmm,none,2015-05-17,2015-05-15
16066,hmm,none,2015-05-18,2015-05-16
18770,hmm,none,2015-05-17,2015-05-15
18770,hmm,none,2015-05-17,2015-05-16
16847,hmm,none,2015-05-17,2015-05-15
16847,hmm,none,2015-05-18,2015-05-16
16847,hmm,none,2015-05-18,2015-05-17
19739,hmm,none,2015-05-16,2015-05-15
19739,wupang,wupang_backup_for_hmm,2015-05-18,2015-05-16
16071,hmm,none,2015-05-18,2015-05-16
16069,hmm,none,2015-05-18,2015-05-16
16069,hmm,none,2015-05-18,2015-05-17
19734,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-15
18778,hmm,none,2015-05-17,2015-05-15
18778,hmm,none,2015-05-18,2015-05-16
18778,hmm,none,2015-05-18,2015-05-17
19733,wupang,wupang_backup_for_hmm,2015-05-16,2015-05-15
19733,hmm,none,2015-05-17,2015-05-16
16077,hmm,none,2015-05-18,2015-05-16
16077,hmm,none,2015-05-18,2015-05-17
18784,hmm,none,2015-05-18,2015-05-16
18784,hmm,none,2015-05-18,2015-05-17
18785,hmm,none,2015-05-16,2015-05-15
18785,hmm,none,2015-05-17,2015-05-16
18785,hmm,none,2015-05-18,2015-05-17
16112,hmm,none,2015-05-17,2015-05-15
16112,hmm,none,2015-05-17,2015-05-16
16892,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
18790,hmm,none,2015-05-18,2015-05-15
18790,hmm,none,2015-05-18,2015-05-16
19748,hmm,none,2015-05-17,2015-05-15
19748,wupang,wupang_backup_for_hmm,2015-05-17,2015-05-16
15029,hmm,none,2015-05-17,2015-05-15
15029,hmm,none,2015-05-18,2015-05-16
15029,hmm,none,2015-05-18,2015-05-17
15028,hmm,none,2015-05-16,2015-05-15
19749,hmm,none,2015-05-16,2015-05-15
19749,hmm,none,2015-05-18,2015-05-17
19750,hmm,none,2015-05-17,2015-05-16
16122,hmm,none,2015-05-17,2015-05-16
16125,hmm,none,2015-05-17,2015-05-15
16125,hmm,none,2015-05-17,2015-05-16
18800,hmm,none,2015-05-16,2015-05-15
18800,hmm,none,2015-05-17,2015-05-16
18800,hmm,none,2015-05-18,2015-05-17
17826,hmm,none,2015-05-16,2015-05-15
17826,hmm,none,2015-05-18,2015-05-16
18806,hmm,none,2015-05-16,2015-05-15
18806,hmm,none,2015-05-17,2015-05-16
19770,hmm,none,2015-05-17,2015-05-15
19770,hmm,none,2015-05-17,2015-05-16
16103,hmm,none,2015-05-16,2015-05-15
16103,hmm,none,2015-05-17,2015-05-16
16103,hmm,none,2015-05-18,2015-05-17
16865,hmm,none,2015-05-18,2015-05-16
18809,hmm,none,2015-05-16,2015-05-15
